ISO language name,Native name (endonym),639-1
Abkhazian,"аҧсуа бызшәа, аҧсшәа",ab
Afar,Afaraf,aa
Afrikaans,Afrikaans,af
Akan,Akan,ak
Albanian,Shqip,sq
Amharic,አማርኛ,am
Arabic,العربية,ar
Aragonese,aragonés,an
Armenian,Հայերեն,hy
Assamese,অসমীয়া,as
Avaric,"авар мацӀ, магӀарул мацӀ",av
Avestan,avesta,ae
Aymara,aymar aru,ay
Azerbaijani,azərbaycan dili,az
Bambara,bamanankan,bm
Bashkir,башҡорт теле,ba
Basque,"euskara, euskera",eu
Belarusian,беларуская мова,be
Bengali,বাংলা,bn
Bihari languages,भोजपुरी,bh
Bislama,Bislama,bi
Bosnian,bosanski jezik,bs
Breton,brezhoneg,br
Bulgarian,български език,bg
Burmese,ဗမာစာ,my
"Catalan, Valencian","català, valencià",ca
Chamorro,Chamoru,ch
Chechen,нохчийн мотт,ce
"Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja",ny
Chinese,"中文 (Zhōngwén), 汉语, 漢語",zh
Chuvash,чӑваш чӗлхи,cv
Cornish,Kernewek,kw
Corsican,"corsu, lingua corsa",co
Cree,ᓀᐦᐃᔭᐍᐏᐣ,cr
Croatian,hrvatski jezik,hr
Czech,"čeština, český jazyk",cs
Danish,dansk,da
"Divehi, Dhivehi, Maldivian",ދިވެހި,dv
"Dutch, Flemish","Nederlands, Vlaams",nl
Dzongkha,རྫོང་ཁ,dz
English,English,en
Esperanto,Esperanto,eo
Estonian,"eesti, eesti keel",et
Ewe,Eʋegbe,ee
Faroese,føroyskt,fo
Fijian,vosa Vakaviti,fj
Finnish,"suomi, suomen kieli",fi
French,"français, langue française",fr
Fulah,"Fulfulde, Pulaar, Pular",ff
Galician,Galego,gl
Georgian,ქართული,ka
German,Deutsch,de
"Greek, Modern (1453–)",ελληνικά,el
Guarani,Avañe'ẽ,gn
Gujarati,ગુજરાતી,gu
"Haitian, Haitian Creole",Kreyòl ayisyen,ht
Hausa,(Hausa) هَوُسَ,ha
Hebrew,עברית,he
Herero,Otjiherero,hz
Hindi,"हिन्दी, हिंदी",hi
Hiri Motu,Hiri Motu,ho
Hungarian,magyar,hu
Interlingua (International Auxiliary Language Association),Interlingua,ia
Indonesian,Bahasa Indonesia,id
"Interlingue, Occidental","(originally:) Occidental, (after WWII:) Interlingue",ie
Irish,Gaeilge,ga
Igbo,Asụsụ Igbo,ig
Inupiaq,"Iñupiaq, Iñupiatun",ik
Ido,Ido,io
Icelandic,Íslenska,is
Italian,Italiano,it
Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu
Japanese,日本語 (にほんご),ja
Javanese,"ꦧꦱꦗꦮ, Basa Jawa",jv
"Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii",kl
Kannada,ಕನ್ನಡ,kn
Kanuri,Kanuri,kr
Kashmiri,"कश्मीरी, كشميري‎",ks
Kazakh,қазақ тілі,kk
Central Khmer,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ",km
"Kikuyu, Gikuyu",Gĩkũyũ,ki
Kinyarwanda,Ikinyarwanda,rw
"Kirghiz, Kyrgyz","Кыргызча, Кыргыз тили",ky
Komi,коми кыв,kv
Kongo,Kikongo,kg
Korean,한국어,ko
Kurdish,"Kurdî, کوردی‎",ku
"Kuanyama, Kwanyama",Kuanyama,kj
Latin,"latine, lingua latina",la
"Luxembourgish, Letzeburgesch",Lëtzebuergesch,lb
Ganda,Luganda,lg
"Limburgan, Limburger, Limburgish",Limburgs,li
Lingala,Lingála,ln
Lao,ພາສາລາວ,lo
Lithuanian,lietuvių kalba,lt
Luba-Katanga,Kiluba,lu
Latvian,latviešu valoda,lv
Manx,"Gaelg, Gailck",gv
Macedonian,македонски јазик,mk
Malagasy,fiteny malagasy,mg
Malay,"Bahasa Melayu, بهاس ملايو‎",ms
Malayalam,മലയാളം,ml
Maltese,Malti,mt
Maori,te reo Māori,mi
Marathi,मराठी,mr
Marshallese,Kajin M̧ajeļ,mh
Mongolian,Монгол хэл,mn
Nauru,Dorerin Naoero,na
"Navajo, Navaho",Diné bizaad,nv
North Ndebele,isiNdebele,nd
Nepali,नेपाली,ne
Ndonga,Owambo,ng
Norwegian Bokmål,Norsk Bokmål,nb
Norwegian Nynorsk,Norsk Nynorsk,nn
Norwegian,Norsk,no
"Sichuan Yi, Nuosu",ꆈꌠ꒿ Nuosuhxop,ii
South Ndebele,isiNdebele,nr
Occitan,"occitan, lenga d'òc",oc
Ojibwa,ᐊᓂᔑᓈᐯᒧᐎᓐ,oj
"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",ѩзыкъ словѣньскъ,cu
Oromo,Afaan Oromoo,om
Oriya,ଓଡ଼ିଆ,or
"Ossetian, Ossetic",ирон æвзаг,os
"Punjabi, Panjabi","ਪੰਜਾਬੀ, پنجابی‎",pa
Pali,"पालि, पाळि",pi
Persian,فارسی,fa
Polish,"język polski, polszczyzna",pl
"Pashto, Pushto",پښتو,ps
Portuguese,Português,pt
Quechua,"Runa Simi, Kichwa",qu
Romansh,Rumantsch Grischun,rm
Rundi,Ikirundi,rn
"Romanian, Moldavian, Moldovan",Română,ro
Russian,русский,ru
Sanskrit,संस्कृतम्,sa
Sardinian,sardu,sc
Sindhi,"सिन्धी, سنڌي، سندھی‎",sd
Northern Sami,Davvisámegiella,se
Samoan,gagana fa'a Samoa,sm
Sango,yângâ tî sängö,sg
Serbian,српски језик,sr
"Gaelic, Scottish Gaelic",Gàidhlig,gd
Shona,chiShona,sn
"Sinhala, Sinhalese",සිංහල,si
Slovak,"Slovenčina, Slovenský Jazyk",sk
Slovenian,"Slovenski Jezik, Slovenščina",sl
Somali,"Soomaaliga, af Soomaali",so
Southern Sotho,Sesotho,st
"Spanish, Castilian",Español,es
Sundanese,Basa Sunda,su
Swahili,Kiswahili,sw
Swati,SiSwati,ss
Swedish,Svenska,sv
Tamil,தமிழ்,ta
Telugu,తెలుగు,te
Tajik,"тоҷикӣ, toçikī, تاجیکی‎",tg
Thai,ไทย,th
Tigrinya,ትግርኛ,ti
Tibetan,བོད་ཡིག,bo
Turkmen,"Türkmen, Түркмен",tk
Tagalog,Wikang Tagalog,tl
Tswana,Setswana,tn
Tonga (Tonga Islands),Faka Tonga,to
Turkish,Türkçe,tr
Tsonga,Xitsonga,ts
Tatar,"татар теле, tatar tele",tt
Twi,Twi,tw
Tahitian,Reo Tahiti,ty
"Uighur, Uyghur","ئۇيغۇرچە‎, Uyghurche",ug
Ukrainian,Українська,uk
Urdu,اردو,ur
Uzbek,"Oʻzbek, Ўзбек, أۇزبېك‎",uz
Venda,Tshivenḓa,ve
Vietnamese,Tiếng Việt,vi
Volapük,Volapük,vo
Walloon,Walon,wa
Welsh,Cymraeg,cy
Wolof,Wollof,wo
Western Frisian,Frysk,fy
Xhosa,isiXhosa,xh
Yiddish,ייִדיש,yi
Yoruba,Yorùbá,yo
"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh",za
Zulu,isiZulu,zu
